kd_lpse,kd_agency,kd_lelang,nama_lpse,nama_agency,kd_paket,nama_paket,nama_panitia,hasil_lelang,nama_pemenang,npwp_pemenang,hps,tgl_pengumuman,nama_satker,nilai_kontrak,tanggal_kontrak,tanggal_akhir_lelang,sumber_dana,tahun_anggaran,kategori,kd_satker,pagu,kd_pemenang,kd_kabupaten,nama_kabupaten,nama_propinsi
114,3999,8573114,LPSE Kementerian Perhubungan,Ditjen Phb Laut,7449114,"Subsidi Angkutan Laut Perintis Trayek R-13 Pangkalan Surabaya Tahun Anggaran 2014",PANITIA PENGADAAN SUBSIDI ANGKUTAN LAUT PERINTIS TRAYEK R-13 PANGKALAN SURABAYA,5901575500,"","",5924315000,2013-12-20,KANTOR OTORITAS PELABUHAN UTAMA TANJUNG PERAK SURABAYA,"","",2014-01-21,APBN,2013,"Jasa Lainnya",17114,5926704781,"",14748,Jakarta Pusat (Kota),DKI Jakarta
252,35999,2396252,LPSE Kementerian Hukum dan HAM RI,KANWIL SULAWESI BARAT,2249252,Pengadaan Bahan Makanan Napi/Tahanan Pada Lembaga Pemasyarakatan Kelas IIB Polewali Tahun 2014,Pengadaan Bahan Makanan Napi/Tahanan Pada Lapas Kelas IIB Polewali TA 2014,733959698,CV. WULASI JAYA,01.791.545.5-802.000,774051392,2013-12-09,Lembaga Pemasyarakatan Klas IIB Polewali,"","",2013-12-31,APBN,2014,Pengadaan Barang,740252,774119000,1205252,14752,Jakarta Selatan (Kota),DKI Jakarta
87,1087,186087,LPSE Dewan Perwakilan Rakyat Republik Indonesia,LPSE SETJEN DPR RI,183087,Langganan Jasa Internet,Panitia Pengadaan Langganan Jasa Internet Setjen DPR RI 2014,843806700,"PT. Telekomunikasi Indonesia, Tbk.",01.000.013.1-051.000,1518000000,2013-12-05,Setjen DPR RI,"","",2014-01-03,APBN,0,"Jasa Lainnya",1087,1534500000,438087,14748,Jakarta Pusat (Kota),DKI Jakarta
11,506011,11288011,LPSE Kementerian Keuangan,Badan Pendidikan dan Pelatihan Keuangan,9925011,Pengadaan Jasa Konsumsi Predeparture Training Pusdiklat Pengembangan SDM Tahun 2014,Pengadaan Konsumsi Pre-Departure Training Pusdiklat PSDM,700000000,CV. MUTIARA AMARTA CITRA,02.580.593.8-432.000,937464000,2013-12-16,Pusdiklat Pengembangan Sumber Daya Manusia,"","",2014-01-08,APBN,2013,"Jasa Lainnya",38011,937464000,12872011,14748,Jakarta Pusat (Kota),DKI Jakarta
153,4153,1768153,LPSE Kabupaten Banyuasin,Balai Pembibitan Ternak Unggul Sapi Dwiguna dan Ayam,1724153,Pengadaan Bahan Baku Pakan Sapi,Panitia Pengadaan B/J BPTU Sembawa 2013,2685690000,"","",2759268750,2013-12-24,bptu sembawa,"","",2014-02-06,APBN,2013,Pengadaan Barang,31153,2759400000,"",14720,Banyuasin (Kab.),Sumatera Selatan
42,15042,5776042,LPSE Provinsi Jawa Tengah,Dinas Perhubungan Komunikasi dan Informatika,4967042,Pengadaan Jasa Layanan Akses Internet dan Jaringan Interkoneksi,Pengadaan Jasa Layanan Akses Internet dan Jaringan Interkoneksi 2014,4214906300,"PT. TELEKOMUNIKASI INDONESIA, TBK",01.000.013.1-051.000,4300000000,2013-12-05,Dinas Perhubungan Komunikasi dan Informatika Provinsi Jawa Tengah,"","",2013-12-23,APBD,2014,"Jasa Lainnya",10042,4300000000,3735042,14804,Semarang (Kota),Jawa Tengah
127,92127,20404127,LPSE Provinsi Daerah Khusus Ibukota Jakarta,Balai Latihan Kerja Khusus Pengembangan Las Condet,18752127,Penyediaan Jasa Kebersihan ( Cleaning Service ),Panitia PBJ PPKK Pengembangan Las Condet TA 2013,995221260,PT. SAIBAYAK MULTI PERKASA,03.215.245.6-009.000,1472240200,2013-12-12,Balai Latihan Kerja Khusus Pengembangan Las,"","",2014-01-06,APBD,2014,"Jasa Lainnya",57127,1475000000,5184127,14748,Jakarta Pusat (Kota),DKI Jakarta
218,6218,1734218,LPSE Kementerian Kelautan dan Perikanan,BPSDMKP,1709218,Pengadaan Bahan Makanan siswa Semester I 2014,Panitia Pengadaan Bahan Makan SUPM Bone TA 2014,999538000,"","",1269675000,2013-12-06,SUPM N Bone,"","",2013-12-31,APBN,2013,Pengadaan Barang,191218,1269675000,"",14748,Jakarta Pusat (Kota),DKI Jakarta
114,9999,8431114,LPSE Kementerian Perhubungan,Badan Peng. SDM Perhubungan,7468114,Pelelangan Umum Tidak Mengikat Pengadaan Permakanan Taruna Tahun Anggaran 2014,PANITIA PENGADAAN BARANG/JASA LAINNYA POLTEK TRANSPOTASI JALAN TA.2014,5131112448,"","",5203968000,2013-12-06,POLITEKNIK KESELAMATAN TRANSPORTASI JALAN,"","",2014-01-02,APBN,2014,"Jasa Lainnya",596114,5689560000,"",14748,Jakarta Pusat (Kota),DKI Jakarta
29,65029,2257029,LPSE Universitas Diponegoro,Politeknik Ilmu Pelayaran Semarang,2085029,PENGADAAN PERMAKANAN TARUNA,PANITIA PENGADAAN PERMAKANAN TARUNA T.A. 2014,6317472000,PT.Rumah Makan Jawa Tengah,02.622.854.4-077.000,7963200000,2013-12-04,POLITEKNIK ILMU PELAYARAN SEMARANG,"","",2014-01-02,APBN,2014,"Jasa Lainnya",172029,7963200000,2569029,14807,Semarang (Kab.),Jawa Tengah
153,4153,1767153,LPSE Kabupaten Banyuasin,Balai Pembibitan Ternak Unggul Sapi Dwiguna dan Ayam,1723153,Pengadaan bahan baku pakan ayam,Panitia Pengadaan B/J BPTU Sembawa 2013,1665036400,"","",1673193000,2013-12-24,bptu sembawa,"","",2014-02-06,APBN,2013,Pengadaan Barang,31153,1673525000,"",14720,Banyuasin (Kab.),Sumatera Selatan
29,26029,2272029,LPSE Universitas Diponegoro,RSUP DR. Kariadi Semarang,2094029,"Pekerjaan Jasa Kebersihan Halaman, Pengangkutan Sampah, Taman dan Selokan Bulan Februari s/d Desember 2014",Pokja Pemeliharaan/Perbaikan,1071433000,CV. OVISTA,02.025.109.6-517.000,1097065200,2013-12-17,RSUP DR. Kariadi Semarang,"","",2014-01-22,BLU,2014,"Jasa Lainnya",47029,1097729466,1879029,14807,Semarang (Kab.),Jawa Tengah
11,506011,11270011,LPSE Kementerian Keuangan,Badan Pendidikan dan Pelatihan Keuangan,9905011,Pengadaan ATK dan Peralatan Peserta Diklat Pusdiklat KNPK,Pengadaan ATK dan Peralatan Peserta Diklat Pusdiklat KNPK,240339605,CV. Kencana Jaya,01.364.722.7-086.000,354767050,2013-12-13,Pusdiklat Kekayaan Negara dan Perimbangan Keuangan,"","",2014-01-13,APBN,2014,Pengadaan Barang,36011,354767050,2308011,14748,Jakarta Pusat (Kota),DKI Jakarta
109,17109,2718109,LPSE Kementerian Energi dan Sumber Daya Mineral,Balai Diklat Tambang Bawah Tanah,2162109,Jasa Satuan Pengamanan dan Sopir Balai Pendidikan dan Pelatihan Tambang Bawah Tanah Tahun Anggaran 2014,Panitia Pengadaan Barang 2013,700453671,"","",716905000,2013-12-04,Balai Diklat Tambang Bawah Tanah,"","",2014-01-01,APBN,2013,"Jasa Lainnya",15109,716984000,"",14748,Jakarta Pusat (Kota),DKI Jakarta
114,3999,8516114,LPSE Kementerian Perhubungan,Ditjen Phb Laut,7480114,Pekerjaan Pelayanan Pengoperasian Angkutan Di Perairan Untuk Daerah Masih Tertinggal Dan/Atau Wilayah Terpencil Trayek R-44 Pangkalan Ambon TA. 2014 (Pelelangan Umum Tidak Mengikat),"PANITIA PEKJ.JASA ANGKUTAN LAUT PERINTIS PANGKALAN AMBON TRAYEK R39,R40,R44",4806738676,PT. Herlin Samudra Line,02.375.060.7-722.000,5086297456,2013-12-14,KANTOR KESYAHBANDARAN DAN OTORITAS PELABUHAN KELAS I AMBON,"","",2014-01-07,APBN,2014,"Jasa Lainnya",155114,5086838375,1518114,14748,Jakarta Pusat (Kota),DKI Jakarta
25,2025,2831025,LPSE Kementerian Pendidikan dan Kebudayaan,Badan Tenaga Nuklir Nasional,2620025,Belanja Pemeliharaan Gedung dan Bangunan berupa Kebersihan Gedung dan Halaman Kantor.,Pengadaan Jasa Kebersihan Gedung dan Halaman Gedung Tahun 2014,892331000,"","",1000000000,2013-12-04,Pusat Aplikasi Teknologi Isotop dan Radiasi (PATIR),"","",2014-01-10,APBN,2014,"Jasa Lainnya",54025,1000000000,"",14748,Jakarta Pusat (Kota),DKI Jakarta
170,47170,3757170,LPSE Kementerian Agama,Kanwil Kementerian Agama Provinsi Kalimantan Timur,3589170,Pengadaan Jasa Konsultansi Perencanaan Pembangunan Madrasah Terpadu (MTsN 2) Balikpapan,Jasa Konsultansi Perencanaan Pembangunan Madrasah Terpadu (MTsN 2 ) Balikpapan,336600000,"","",350000000,2013-12-03,MTsN 2 Balikpapan,"","",2014-01-23,PHLN,2013,"Jasa Konsultansi",594170,350000000,"",14748,Jakarta Pusat (Kota),DKI Jakarta
155,1155,328155,LPSE Kabupaten Kerinci,LPSE Kabupaten Kerinci,279155,Jalan Sungai Tutung - Pungut Mudik (Lanjutan),PPBJ Dinas Pekerjaan Umum,1801836000,"","",2000000000,2013-12-18,DINAS PEKERJAAN UMUM KABUPATEN KERINCI,"","",2014-02-04,APBD,2014,"Pekerjaan Konstruksi",5155,2000000000,"",14706,Kerinci (Kab.),Jambi
225,2999,1548225,LPSE Kota Tangerang Selatan,Kota Tangerang Selatan,1243225,Pembangunan Gedung Balaikota,Jasa Konstruksi Pembangunan Gedung Pusat Pemerintahan,46539050800,"","",48532400000,2013-12-04,"Dinas Tata Kota, Bangunan dan Pemukiman","","",2013-12-27,APBD,2013,"Pekerjaan Konstruksi",1999,48555639000,"",16003,Tangerang Selatan (Kota),Banten
252,12999,2620252,LPSE Kementerian Hukum dan HAM RI,KANWIL NANGGROE ACEH DARUSSALAM,2433252,Pengadaan Bahan Makanan Narapidana dan Tahanan Lembaga Pemasyarakatan Klas IIA Banda Aceh T.A 2014,POKJA BAMA NAPI DAN TAHANAN LAPAS KELAS IIA BANDA ACEH TAHUN ANGGARAN 2014,1640592380,"","",1835460000,2013-12-16,LAPAS KELAS IIA BANDA ACEH,"","",2014-01-04,APBN,2014,Pengadaan Barang,256252,1835745000,"",14752,Jakarta Selatan (Kota),DKI Jakarta
252,18999,2368252,LPSE Kementerian Hukum dan HAM RI,KANWIL JAMBI,2219252,PENGADAAN BAHAN MAKANAN NARAPIDANA DAN TAHANAN PADA LEMBAGA PEMASYARAKATAN KLAS IIA JAMBI TAHUN ANGGARAN 2014,POKJA PBJ Bahan Makanan Narapidana & Tahanan LP Klas IIA Jambi,2962474000,"","",3173845000,2013-12-05,LAPAS Klas IIA Jambi,"","",2013-12-31,APBN,2014,Pengadaan Barang,364252,3174775000,"",14752,Jakarta Selatan (Kota),DKI Jakarta
78,2078,337078,LPSE Kabupaten Ngawi,Pemerintah Kabupaten Ngawi,299078,Pengadaan Bahan material ( Tahap I ),"Panitia Pengadaan Barang/Jasa Dinas PU Bina Marga, Cipta Karya & Kebersihan 2013",705445000,CV. JASA KARYA,02.644.453.9-646.000,730220000,2013-12-30,Dinas Pu Bina Marga Cipta Karya dan Kebersihan Kab.Ngawi,"","",2014-01-22,APBD,2014,Pengadaan Barang,5078,730220000,350078,14856,Ngawi (Kab.),Jawa Timur
11,539011,11253011,LPSE Kementerian Keuangan,Kementerian Sekretariat Negara,9892011,"Perawatan peralatan security system Komplek Rumah Jabatan Anggota MA, BPK, dan MKRI Komplek Kemayoran Jakarta Pusat",Perawatan Security System Komplek Rumah Jabatan Komplek Kemayoran Jakpus,319165495,CV. CIPTA KOMUNIKA PERSADA,31.158.934.5-039.000,328392000,2013-12-13,Kementerian Sekretariat Negara,"","",2014-01-02,APBN,2014,"Jasa Lainnya",121011,328392000,10919011,14748,Jakarta Pusat (Kota),DKI Jakarta
114,3999,8504114,LPSE Kementerian Perhubungan,Ditjen Phb Laut,7444114,Pekerjaan Subsidi Pengoperasian Angkutan Laut Perintis Trayek R-37 Pangkalan Mamuju TA.2014 ( Lelang Tidak Mengikat ),PANITIA PEKJ.JASA ANGKUTAN DIPERAIRAN UNTUK WIL.TERPENCIL TRAYEK R-37 MAMUJU,5188640451,samudra sumber artha,03.215.400.7-009.000,5347262229,2013-12-13,UNIT PENYELENGGARA KELAS III PELABUHAN MAMUJU,"","",2014-01-04,APBN,2014,"Jasa Lainnya",301114,5357150936,1782114,14748,Jakarta Pusat (Kota),DKI Jakarta
190,1188,271190,LPSE Universitas Indonesia,LPSE Universitas Indonesia,235190,Jasa Cleaning Service Program Vokasi Universitas Indonesia,POKJA PEKERJAAN JASA KONSULTANSI DAN JASA LAINNYA,385014630,"","",422578108,2013-12-30,Universitas Indonesia,"","",2014-01-24,PHLN,2014,"Jasa Lainnya",1188,440000000,"",14776,Depok (Kota),Jawa Barat
12,497001,3233012,LPSE Provinsi Kalimantan Tengah,LPSE Kalimantan Tengah,2894012,Pengadaan Sarana Produksi 1 Paket,Pokja II TANPANGANHORTIKULTURA & PSP ULP PBJ DISTANAK Prov Kalteng TA 2014,820250000,CV.GILAU BERSAMA,02.676.145.2-711.000,822616364,2013-12-20,Dinas Pertanian dan Peternakan Provinsi Kalimantan Tengah,"","",2014-01-31,APBD,2014,Pengadaan Barang,22012,825000000,360012,14873,Palangka Raya (Kota),Kalimantan Tengah
300,3300,412300,LPSE Kabupaten Mojokerto,LPSE Kabupaten Mojokerto,300300,Pengadaan Belanja Barang Non Operasional Lainnya Komisi Pemilihan Umum Kabupaten Mojokerto,POKJA BARANG II ULP KABUPATEN MOJOKERTO,239050550,"","",271466000,2013-12-06,Komisi Pemilihan Umum Kabupaten Mojokerto,"","",2013-12-18,APBN,2013,Pengadaan Barang,49300,661775000,"",14820,Mojokerto (Kab.),Jawa Timur
109,26109,2731109,LPSE Kementerian Energi dan Sumber Daya Mineral,Pusat Penelitian dan Pengembangan Geologi Kelautan,2174109,Pengadaan Peralatan Survey Geofisika Paket 1,Pokja Barang,6656063882,"","",7182978000,2013-12-17,P3GL,"","",2014-01-29,APBN,2014,Pengadaan Barang,32109,7205412000,"",14748,Jakarta Pusat (Kota),DKI Jakarta
11,695011,11149011,LPSE Kementerian Keuangan,Lembaga Administrasi Negara,9798011,Perawatan/Pemeliharaan Mesin Air Conditioner (AC) Kantor LAN Jakarta,Pokja II Pengadaan Barang/Jasa,311165700,CV. ANANDA ENAM,01.609.831.1-024.000,316648500,2013-12-04,LAN JAKARTA,"","",2013-12-31,APBN,2014,"Jasa Lainnya",768011,316650000,15209011,14748,Jakarta Pusat (Kota),DKI Jakarta
10,2010,1918010,LPSE Kota Surabaya,LPSE Kota Surabaya,1469010,"PEMELIHARAAN TAMAN Taman Kawasan Jl. Dr. Soetomo, Jl. Polisi Istimewa",POKJA_IV_KKJ,454982624,CV. ERHAKY,01.716.347.8-616.000,507301000,2013-12-09,Dinas Kebersihan dan Pertamanan,"","",2014-01-20,APBD,2014,"Pekerjaan Konstruksi",36010,507760362,1672010,14843,Bangkalan (Kab.),Jawa Timur
168,4168,2195168,LPSE Kabupaten Musi Banyuasin,AGENCY LPSE,2117168,PEKERJAAN PENGADAAN POMPA INTAKE TYPE SUBMERSIBLE UNIT CABANG,Panitia Pengadaan Barang/jasa Kegiatan APBD-P,949350000,"","",970000000,2013-12-11,Perusahaan Daerah Air Minum TIRTA RANDIK Kabupaten Musi Banyuasin,"","",2013-12-24,APBD,2013,Pengadaan Barang,11168,1000000000,"",14721,Musi Banyu Asin (Kab.),Sumatera Selatan
252,24999,2224252,LPSE Kementerian Hukum dan HAM RI,KANWIL JAWA BARAT,2069252,PENGADAAN BAHAN MAKANAN BAGI NARAPIDANA/TAHANAN LAPAS KLAS II B TASIKMALAYA,Pembentukan POKJA Pengadaan BAM Napi/Tahanan LP Tasikmalaya TA.2014,1094741600,"","",1103613700,2013-12-05,LAPAS TASIKMALAYA,"","",2014-01-02,APBN,2014,Pengadaan Barang,302252,1103614000,"",14752,Jakarta Selatan (Kota),DKI Jakarta
15,31015,6208015,LPSE Provinsi Jawa Timur,RSUD DR. SOETOMO SURABAYA,6223015,"Belanja Pemeliharaan Ringan Gedung Dan Bangunan (Pelaksanaan Cleaning Service Di Instalasi Rawat Jalan)",Panitia Pengadaan Barang dan Jasa RSUD Dr. Soetomo Surabaya,475809000,KPRI RSUD Dr SOETOMO,01.454.015.7-606.000,517207000,2013-12-05,Rsud Dr. Soetomo,"","",2013-12-31,APBD,2014,"Jasa Lainnya",112015,518130000,9892015,14847,Surabaya (Kota),Jawa Timur
11,522011,11314011,LPSE Kementerian Keuangan,Sekretariat Jenderal Kementerian Keuangan,9945011,Pengadaan Sewa Komunikasi Data Internet Kementerian Keuangan Tahun Anggaran 2014,Unit Layanan Pengadaan Setjen Pokja IV,19277843200,"PT. Telekomunikasi Indonesia, Tbk.",01.000.013.1-093.000,19472274800,2013-12-17,Pusat Sistem Informasi dan Teknologi Keuangan (PUSINTEK),"","",2014-01-13,APBN,2013,"Jasa Lainnya",105011,19932000000,405011,14748,Jakarta Pusat (Kota),DKI Jakarta
303,1303,312303,LPSE Universitas Gadjah Mada,Universitas Gadjah Mada,280303,"PENGADAAN JASA CLEANING SERVICE GEDUNG FISIPOL UNIVERSITAS GADJAH MADA",Pengadaan Cleaning Service untuk Fakultas ISIPOL UGM,615000000,"","",657000000,2013-12-09,Kantor Pusat Tata Usaha Universitas Gadjah Mada,"","",2013-12-31,PHLN,2014,"Jasa Lainnya",5303,657000000,"",14815,Yogyakarta (Kota),DI Yogyakarta
329,1329,341329,LPSE Kota Bitung,LPSE Kota Bitung,316329,Rehabilitasi/Perbaikan Jalan Kecamatan Maesa (DAK),Dinas Pekerjaan Umum Kota Bitung TA.2014 (Bid.Bina Marga),216650000,CV.BOON FAVOR,02.919.763.9-823.000,219000000,2013-12-18,Dinas Pekerjaan Umum Kota Bitung,"","",2014-01-20,APBD,2014,"Pekerjaan Konstruksi",7329,220000000,92329,14913,Bitung (Kota),Sulawesi Utara
601,3601,113601,LPSE Kabupaten Bogor,LPSE KABUPATEN BOGOR,102601,Belanja Pengadaan Bahan Makanan Pada Kegiatan Pengadaan Makanan dan Minuman Pasien dan Tenaga Medis Rumah Sakit,Pokja 1,1524514600,MAHARU PASIFICA,02.681.086.1-403.000,1536889000,2013-12-18,RUMAH SAKIT UMUM DAERAH LEUWILIANG,"","",2014-02-07,APBD,0,Pengadaan Barang,3601,1586122000,4601,14772,Bogor (Kab.),Jawa Barat
252,34999,2379252,LPSE Kementerian Hukum dan HAM RI,KANWIL SULAWESI SELATAN,2230252,Pengadaan Bahan Makanan napi/Tahanan Lapas Narkotika Kelas IIA Sungguminasa,Panitia Pengadaan BAMA Napi/Tahanan Lapas Narkotika Kelas IIA Sungguminasa,2014140700,"","",2016625000,2013-12-05,LAPAS NARKOTIKA KELAS IIA SUNGGUMINASA,"","",2013-12-31,APBN,2014,Pengadaan Barang,466252,2016625000,"",14752,Jakarta Selatan (Kota),DKI Jakarta
252,13999,2638252,LPSE Kementerian Hukum dan HAM RI,KANWIL SUMATERA UTARA,2443252,PENGADAAN JASA KONSULTANSI PERENCANAAN PEMBANGUNAN KEMBALI LAPAS KLAS IIA LABUHAN RUKU,PENGADAAN JASA KONSULTANSI PERENCANAAN LAPAS LABUHAN RUKU,502947000,"","",542974000,2013-12-17,LEMBAGA PEMASYARAKATAN KLAS IIA LABUHAN RUKU,"","",2014-01-29,APBN,2014,"Jasa Konsultansi",711252,543000000,"",14752,Jakarta Selatan (Kota),DKI Jakarta
168,4168,2190168,LPSE Kabupaten Musi Banyuasin,AGENCY LPSE,2112168,"PEMASANGAN PANEL CONTROL POWER, STABILIZER DAN STEP UP BESERTA AKSESORISNYA UNTUK PENINGKATAN VOLTAGE LISTRIK PDAM UNIT PENGOLAHAN AIR BALUI",Panitia Pengadaan Barang/jasa Kegiatan APBD-P,270550000,"","",275250000,2013-12-11,Perusahaan Daerah Air Minum TIRTA RANDIK Kabupaten Musi Banyuasin,"","",2013-12-24,APBD,2013,"Pekerjaan Konstruksi",11168,292000000,"",14721,Musi Banyu Asin (Kab.),Sumatera Selatan
323,2323,283323,LPSE Kementerian Sosial,LPSE Pusat Kementerian Sosial,307323,Sewa Mesin Fotocopy,Sekertariat Jendral Kementerian Sosial,641995200,"","",778000000,2013-12-02,Sekretariat Jenderal - Kementerian Sosial RI,"","",2014-01-02,APBN,2013,"Jasa Lainnya",25323,779520000,"",14748,Jakarta Pusat (Kota),DKI Jakarta
